anime_id,name,genre,type,episodes,rating,members,episode_class
27663,Baby Steps 2nd Season,"Romance, School, Shounen, Sports",TV,25,8.20,36251,1
1482,D.Gray-man,"Action, Adventure, Comedy, Shounen",TV,103,8.20,334399,4
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,"Action, Drama, Mecha, Sci-Fi, Space",TV,25,8.20,21210,1
7720,Ookiku Furikabutte: Natsu no Taikai-hen,"Comedy, Sports",TV,13,8.20,22190,1
1914,Saiunkoku Monogatari 2nd Season,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",TV,39,8.20,23160,2
2164,Dennou Coil,"Adventure, Comedy, Drama, Mystery, Sci-Fi",TV,26,8.19,76860,1
237,Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19,239570,3
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",TV,75,8.19,69000,4
6045,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25,8.19,309339,1
6211,Tokyo Magnitude 8.0,Drama,TV,11,8.19,121349,1
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",TV,70,8.18,181249,4
4789,ef: A Tale of Melodies.,"Drama, Mystery, Romance, Supernatural",TV,12,8.18,103657,1
16918,Gin no Saji,"Comedy, School, Shounen, Slice of Life",TV,11,8.18,116261,1
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance",TV,24,8.18,130646,1
1486,Kodomo no Omocha (TV),"Comedy, Drama, Romance, Shoujo",TV,102,8.18,27893,4
25879,Working!!!,"Comedy, Romance, Slice of Life",TV,13,8.18,80763,1
889,Black Lagoon,"Action, Seinen",TV,12,8.17,332562,1
934,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,8.17,359494,1
12189,Hyouka,"Mystery, School, Slice of Life",TV,22,8.17,372246,1
1530,Kanon (2006),"Drama, Romance, Slice of Life, Supernatural",TV,24,8.17,163171,1
9656,Kimi ni Todoke 2nd Season,"Romance, School, Shoujo, Slice of Life",TV,12,8.17,171866,1
20507,Noragami,"Action, Adventure, Shounen, Supernatural",TV,12,8.17,515378,1
14075,Zetsuen no Tempest,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900,1
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,8.16,316102,4
2004,Hanada Shounen-shi,"Comedy, Drama, Slice of Life, Supernatural",TV,25,8.16,6321,1
25649,Junjou Romantica 3,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.16,39866,1
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,8.16,66646,3
302,Mirai Shounen Conan,"Adventure, Drama, Sci-Fi",TV,26,8.16,15557,1
5682,Phantom: Requiem for the Phantom,"Action, Drama, Seinen, Thriller",TV,26,8.16,159105,1
16049,Toaru Kagaku no Railgun S,"Action, Sci-Fi, Super Power",TV,24,8.16,137105,1
1065,Touch,"Drama, Romance, School, Shounen, Slice of Life, Sports",TV,101,8.16,12833,4
18179,Yowamushi Pedal,"Comedy, Drama, Shounen, Sports",TV,38,8.16,91138,2
23199,Durarara!!x2 Shou,"Action, Mystery, Supernatural",TV,12,8.15,189407,1
10049,Nurarihyon no Mago: Sennen Makyou,"Action, Demons, Shounen, Supernatural",TV,24,8.15,75612,1
846,School Rumble Ni Gakki,"Comedy, Romance, School, Shounen",TV,26,8.15,93095,1
9926,Sekaiichi Hatsukoi,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.15,94820,1
31173,Akagami no Shirayuki-hime 2nd Season,"Drama, Fantasy, Romance, Shoujo",TV,12,8.14,80862,1
589,Ginga Nagareboshi Gin,"Action, Adventure, Drama, Shounen",TV,21,8.14,10575,1
15059,Initial D Fifth Stage,"Action, Cars, Drama, Seinen, Sports",TV,14,8.14,26711,1
